# ----------------------------------------
# Pages and screens: Page path and screen class
# 계정: creatrip
# 속성: Creatrip GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260327
# 종료일: 20260423
페이지 경로 + 쿼리 문자열,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익,참여율,이탈률,세션당 평균 참여 시간
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnQlL-dqBOQJPrihb3XQGcbxEoLvFMYOWJkmoAN_llCutmwxsnOVlfgdcNwFk_aem_nzdMuQPKPDdgnkJMqUtiTQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnQrHvpkVZ7kOzFM000SUqWdvWFGK1aZmxYDwBj34KaZ_Jo0MnS6UTRh9Tzpk_aem_yVNnrSPUHSysEferNh7rOA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnRY6Txz_ic3gOeHZT5ouhjRtFoDPldFHhB6k0wfGCUU2CqbLY6QrY94zvnzI_aem_-pR8W9uEIz_2pJpQgn2bqw,1,0,0,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnWORuDuKOE4dq4EkVoTO1LDCt7QQ7Jm6FSOgBAT-muObnqumQiK3Tm0neBMk_aem_sM67kuCTnc5ROlrpOIcsTw,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnX3YWgYNuB4TA76lV4CspBc00ZwNisEPkR-F9qHuMthMt2AwPNHXrXMJFD6M_aem_OWoo-RkJSMTmO2iMYC2g-g,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnYSZM_G_UhtxR6HP2Sukq0QsuIj4mIZWIwA-kr_D0fWWWX3wtDbasEcjP7q8_aem_5kGjeM0OLi9l2TmMZZRT9Q,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnZLLadwrF8a3bb-6MxPSBMcImq0auMynJhHhJzt98SHXk-CqAiFxMs5WP8aE_aem_8C0k8-cNWpMSFaffo5nzZg,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnZxdV8ymcLKBN5tTos9C23YzHwvwVkfi-qbZC4R59iJw3wDrRH-vhjEjYCAY_aem_i2yOONXkhtsH7VzzS8yiJg,1,1,1,0,1,0,0,1,0,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGn_WM_aA9lmoZnFboO8EkflopOfL5OunsASmuTwhvlsM-bEkRmmB5x6L-7byI_aem_Yc3mYy6JFGbVeNYWyt1f0w,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGn_mZGneTvyv4QkprVbye25h6C1WlrvL8pMCx3Rb1UMDXO2DqNOps4LONs7lk_aem_Kmz63WIfy3a4b_FXCWp-uQ,1,1,1,0,1,0,0,0,1,0
