rank,blog_code,segment,impressions,clicks,ctr
342,4251,passing,281,0,0.000000
343,4256,passing,109,0,0.000000
344,4258,비여행,85,0,0.000000
345,4264,passing,246,0,0.000000
346,4265,killer,174,0,0.000000
347,4267,low,146,0,0.000000
348,4269,low,152,0,0.000000
349,4274,low,69,0,0.000000
350,4278,passing,183,0,0.000000
351,4283,passing,51,0,0.000000
352,4295,비여행,347,0,0.000000
353,4302,passing,58,0,0.000000
354,4304,passing,55,0,0.000000
355,4308,passing,136,0,0.000000
356,4310,passing,187,0,0.000000
357,4316,low,61,0,0.000000
358,4325,low,82,0,0.000000
359,4328,hidden,129,0,0.000000
360,4346,passing,147,0,0.000000
361,4348,low,100,0,0.000000
362,4351,passing,1422,0,0.000000
363,4352,hidden,159,0,0.000000
364,4356,hidden,75,0,0.000000
365,4382,passing,77,0,0.000000
366,4383,low,143,0,0.000000
367,4391,passing,217,0,0.000000
368,4395,passing,91,0,0.000000
369,4396,passing,422,0,0.000000
370,4402,passing,133,0,0.000000
371,4414,killer,85,0,0.000000
372,4415,passing,50,0,0.000000
373,4419,passing,167,0,0.000000
374,4425,hidden,86,0,0.000000
375,4432,low,122,0,0.000000
376,4437,passing,583,0,0.000000
377,4444,passing,847,0,0.000000
378,4445,passing,129,0,0.000000
379,4460,passing,199,0,0.000000
380,4463,low,160,0,0.000000
381,4481,passing,412,0,0.000000
382,4501,비여행,114,0,0.000000
383,4503,killer,220,0,0.000000
384,4508,비여행,178,0,0.000000
385,4510,passing,186,0,0.000000
386,4514,passing,313,0,0.000000
387,4524,passing,53,0,0.000000
388,4527,passing,274,0,0.000000
389,4533,passing,363,0,0.000000
390,4546,비여행,509,0,0.000000
391,4548,passing,59,0,0.000000
392,4550,killer,132,0,0.000000
393,4552,passing,167,0,0.000000
394,4558,passing,2734,0,0.000000
395,4559,killer,67,0,0.000000
396,4560,killer,138,0,0.000000
397,4561,killer,72,0,0.000000
398,4562,비여행,112,0,0.000000
399,4566,low,100,0,0.000000
400,4569,killer,256,0,0.000000
401,4570,passing,1598,0,0.000000
402,4576,passing,268,0,0.000000
403,4577,passing,154,0,0.000000
404,4589,passing,811,0,0.000000
405,4594,killer,138,0,0.000000
406,4603,passing,337,0,0.000000
407,4606,killer,92,0,0.000000
408,4613,hidden,54,0,0.000000
409,4614,killer,51,0,0.000000
410,4616,passing,675,0,0.000000
411,4629,passing,59,0,0.000000
412,4635,passing,129,0,0.000000
413,4658,passing,657,0,0.000000
414,4659,killer,179,0,0.000000
415,4672,low,60,0,0.000000
416,4683,passing,281,0,0.000000
417,4698,passing,90,0,0.000000
418,4700,비여행,291,0,0.000000
419,4702,killer,101,0,0.000000
420,4703,passing,50,0,0.000000
421,4710,killer,377,0,0.000000
422,4713,비여행,111,0,0.000000
423,4716,passing,167,0,0.000000
424,4736,passing,80,0,0.000000
425,4739,low,86,0,0.000000
426,4741,passing,85,0,0.000000
427,4746,killer,82,0,0.000000
428,4749,killer,76,0,0.000000
429,4753,passing,566,0,0.000000
430,4758,passing,988,0,0.000000
431,4760,hidden,58,0,0.000000
432,4766,low,121,0,0.000000
433,4768,passing,1233,0,0.000000
434,4770,killer,1365,0,0.000000
435,4772,killer,319,0,0.000000
436,4786,passing,124,0,0.000000
