group,code,imp,clk,ctr,spots,view_count,like_count,title
ZERO,3709,446,0,0.000000,1,20635,154,韓國SRT搭乘/購票教學
ZERO,3725,198,0,0.000000,0,114394,518,2026台灣/韓國直飛航線整理
ZERO,3764,103,0,0.000000,0,18955,207,梨泰院酒吧 Top 5
ZERO,3768,606,0,0.000000,0,163133,651,롯데마트에서 꼭 사야할 것 
ZERO,3782,177,0,0.000000,0,59977,283,[2020/대구관광뷰로] 대구 미식 총정리2(기존조회수 58731)
ZERO,3829,450,0,0.000000,0,97868,1103,명동에서 반드시 가야할 쇼핑몰：인기 여성복매장 Top 5！
ZERO,3832,696,0,0.000000,3,85565,431,한국 여성 신발가게 추천!
ZERO,3851,148,0,0.000000,0,25423,447,韓國11種特色DIY手作體驗推薦
ZERO,3899,335,0,0.000000,0,100461,120,【韓國酒】술의 달인 한국인！한국인이 알려주는 폭탄주 10가지！(숙소에서 한국 폭탄주 제조하기)
ZERO,3904,595,0,0.000000,0,124990,765,No Brand必買推薦
ZERO,3908,154,0,0.000000,0,149330,31,【韓國文化】외국인에게는 신기한 한국인의 생활습관 6가지！한국인들은 양말을 신고 슬리퍼를 신는다고？
ZERO,3938,205,0,0.000000,0,15181,96,韓國五家連鎖咖啡廳
ZERO,3951,625,0,0.000000,2,60273,1043,남산(N서울타워)총정리
ZERO,4001,297,0,0.000000,0,60310,499, 청계천
ZERO,4027,670,0,0.000000,0,34733,422,2025釜山自由行49個景點推薦
ZERO,4126,217,0,0.000000,1,35224,230,부산_움직이는사진상점
ZERO,4145,218,0,0.000000,0,32870,489,景福宮西村攻略
ZERO,4156,219,0,0.000000,0,4373,80,明洞漫畫街/趣味路
ZERO,4217,118,0,0.000000,0,94564,747,鐘路益善洞攻略
ZERO,4238,151,0,0.000000,2,22351,167,인사동나만의도장만들기_인사동케이아트센터
ZERO,4239,160,0,0.000000,0,12195,12,韓國人的夏季假期「暑休」
ZERO,4249,322,0,0.000000,0,24810,2,韓國人的祖先是誰？
