code,name_ko,name_en,parent_code,parent_city_ko,priority,spot_count,blog_count,lang_course_count,region_count,pub_region_count,total_links,class_1st,sgg_code,sgg_name,action,action_note,review
190,연세대학교,Yonsei Univ,,,89,1,0,0,0,0,1,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
464,영종도,Yeongjongdo,,,140,1,3,0,0,0,4,관광지,28110,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
115,오륙도,Oryookdo,,,50,1,0,0,0,0,1,관광지,26290,남구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
218,월드컵경기장,World cup stadium,,,121,1,3,0,0,0,4,관광지,11440,마포구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
143,월미도,Wolmido,,,77,1,3,0,0,0,4,관광지,28110,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
402,판교,Pangyo,,,132,1,0,0,0,0,1,관광지,41135,성남시 분당구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
70,강남구,Gangnam,5,서울시,6,380,231,3,1,1,615,행정구,11680,강남구,유지,구-공개REGION연결有(신모델),
88,종로구,Jongro,5,서울시,24,150,92,1,0,0,243,행정구,11110,종로구,유지,,
107,해운대구,Haeundae,3,부산시,42,112,46,0,1,1,159,행정구,26350,해운대구,유지,구-공개REGION연결有(신모델),
122,중구,Junggu,,,57,91,8,0,0,0,99,행정구,27110,중구,유지,,Y
82,영등포구,Yeongdeungpo,5,서울시,18,72,26,0,0,0,98,행정구,11560,영등포구,유지,,
71,동대문구,Dongdaemun,5,서울시,7,67,79,0,1,1,147,행정구,11140,중구,유지,구-공개REGION연결有(신모델),
85,용산구,Yongsan,5,서울시,21,56,41,0,1,1,98,행정구,11170,용산구,유지,구-공개REGION연결有(신모델),
84,마포구,Mapo,5,서울시,20,54,26,1,0,0,81,행정구,11440,마포구,유지,,
133,서귀포시,Seogwipo,,,67,38,12,0,1,1,51,행정구,50130,서귀포시,유지,구-공개REGION연결有(신모델),Y
412,서초구,Seocho,5,서울시,136,26,5,0,1,1,32,행정구,11650,서초구,유지,구-공개REGION연결有(신모델),
224,송파구,Songpa,5,서울시,127,23,8,0,1,1,32,행정구,11710,송파구,유지,구-공개REGION연결有(신모델),
718,성동구,Seongdong,5,서울시,102,22,0,0,0,0,22,행정구,11200,성동구,유지,,
116,영도구,Yeongdo,3,부산시,51,15,8,0,1,1,24,행정구,26200,영도구,유지,구-공개REGION연결有(신모델),
716,강서구,Gangseo,5,서울시,100,13,2,0,0,0,15,행정구,11500,강서구,유지,,Y
125,남구,Namgu,,,60,12,2,1,0,0,15,행정구,27200,남구,유지,,Y
147,서대문구,Seodaemun,5,서울시,81,11,8,0,0,0,19,행정구,11410,서대문구,유지,,
226,강화군,Gangwhado,,,129,9,11,0,0,0,20,행정구,28710,강화군,유지,,
717,광진구,Gwangjin,5,서울시,101,8,3,0,0,0,11,행정구,11215,광진구,유지,,
708,구로구,Guro,5,서울시,92,7,0,0,0,0,7,행정구,11530,구로구,유지,,
215,기장군,Gijang,3,부산시,118,7,12,0,1,1,20,행정구,26710,기장군,유지,구-공개REGION연결有(신모델),
721,부산진구,Busanjin,3,부산시,105,7,0,0,0,0,7,행정구,26230,부산진구,유지,,
719,수영구,Suyeong,3,부산시,103,7,0,0,0,0,7,행정구,26500,수영구,유지,,
482,제주시,Downtown Jeju,,,148,7,4,0,1,1,12,행정구,50110,제주시,유지,구-공개REGION연결有(신모델),Y
128,달서구,Dalseogu,,,63,6,0,0,0,0,6,행정구,27290,달서구,유지,,
123,동구,Donggu,,,58,6,1,0,0,0,7,행정구,27140,동구,유지,,Y
117,동래구,Dongnae,3,부산시,52,5,0,0,0,0,5,행정구,26260,동래구,유지,,
712,성북구,Seongbuk,5,서울시,96,5,1,0,0,0,6,행정구,11290,성북구,유지,,
127,수성구,Suseonggu,,,62,5,1,0,0,0,6,행정구,27260,수성구,유지,,
220,강동구,Gangdong,5,서울시,124,4,2,0,0,0,6,행정구,11740,강동구,유지,,
714,관악구,Gwanak,5,서울시,98,4,0,2,0,0,6,행정구,11620,관악구,유지,,
225,동작구,Dongjak,5,서울시,128,3,3,1,0,0,7,행정구,11590,동작구,유지,,
142,부평구,Pupyong,7,인천시,76,3,2,0,0,0,5,행정구,28237,부평구,유지,,
126,북구,Bukgu,,,61,3,0,0,0,0,3,행정구,27230,북구,유지,,Y
124,서구,Seogu,,,59,3,0,0,0,0,3,행정구,27170,서구,유지,,Y
715,은평구,Eunpyeong,5,서울시,99,3,2,0,0,0,5,행정구,11380,은평구,유지,,
129,달성군,Dalseonggun,,,64,2,0,0,0,0,2,행정구,27710,달성군,유지,,
710,양천구,Yangcheon,5,서울시,94,2,1,0,0,0,3,행정구,11470,양천구,유지,,
720,연제구,Yeonje,3,부산시,104,2,0,0,0,0,2,행정구,26470,연제구,유지,,
711,강북구,Gangbuk,5,서울시,95,1,0,0,0,0,1,행정구,11305,강북구,유지,,
118,사상구,Sasang,3,부산시,53,1,0,0,0,0,1,행정구,26530,사상구,유지,,
724,연수구,Yeonsu,7,인천시,108,1,0,0,0,0,1,행정구,28185,연수구,유지,,
415,중랑구,Jungnang,5,서울시,138,1,1,0,0,0,2,행정구,11260,중랑구,유지,,
725,계양구,Gyeyang,7,인천시,109,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
